-BEGIN HEADER-,,,,,,,,,
NASA/POWER Source Native Resolution Hourly Data ,,,,,,,,,
Dates (month/day/year): 10/01/2019 through 10/01/2025 in LST,,,,,,,,,
Location: Latitude  41.3981   Longitude 2.1538 ,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 302.35 meters,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,
Parameter(s): ,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) ,,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) ,,,,,,,,,
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) ,,,,,,,,,
-END HEADER-,,,,,,,,,
YEAR,MO,DY,HR,T2M,RH2M,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR,T2MWET
2021,3,20,16,12.25,34.72,4.56,206.52,0,4.61
2021,3,20,17,9.57,57.06,3.82,42.38,0,5.49
2021,3,20,18,7.22,63.15,3.54,0,0,3.95
2021,3,20,19,6.12,66.52,3.49,0,0,3.21
2021,3,20,20,5.29,67.14,3.47,0,0,2.47
2021,3,20,21,4.89,67.07,3.26,0,0,2.08
2021,3,20,22,4.71,67.92,3.06,0,0,1.99
2021,3,20,23,4.2,69.04,2.96,0,0,1.58
2021,3,21,0,3.65,69.57,2.91,0,0,1.09
2021,3,21,1,3.26,69.65,2.91,0,0,0.73
2021,3,21,2,3.14,68.17,2.83,0,0,0.45
2021,3,21,3,3.09,66.12,2.68,0,0,0.18
2021,3,21,4,2.83,65.03,2.58,0,0,-0.17
2021,3,21,5,2.5,65.07,2.58,0,0,-0.48
2021,3,21,6,3.55,68.01,2.3,50.6,0,0.83
2021,3,21,7,6.91,49.89,1.91,233.52,0,1.97
2021,3,21,8,9.71,36.81,1.18,435.83,0,2.67
2021,3,21,9,12.16,31.7,1.02,617.9,0,4.01
2021,3,21,10,13.92,30.22,1.27,730.45,0,5.35
2021,3,21,11,15.19,30.36,1.73,791.17,0,6.55
2021,3,21,12,15.99,31.33,2.36,772.6,0,7.51
2021,3,21,13,16.14,32.8,2.76,715.2,0,7.95
2021,3,21,14,15.88,34.48,2.78,599.83,0,8.04
2021,3,21,15,15.53,35.6,2.27,426.52,0,7.93
2021,3,21,16,14.72,38.16,1.54,230.6,0,7.64
2021,3,21,17,12.02,61.35,1.3,51.9,0,8.4
2021,3,21,18,9.37,66.85,2.23,0,0,6.46
2021,3,21,19,8.16,71.27,2.89,0,0,5.72
2021,3,21,20,7.44,73.03,3.16,0,0,5.17
2021,3,21,21,6.91,73.21,3.21,0,0,4.66
2021,3,21,22,6.47,73.03,3.17,0,0,4.19
2021,3,21,23,6.42,72.47,3.08,0,0,4.09
2021,3,22,0,6.42,71.65,2.94,0,0,4.02
2021,3,22,1,5.83,73.25,3.01,0,0,3.6
2021,3,22,2,4.79,75.09,3.35,0,0,2.71
2021,3,22,3,4.12,77.94,3.72,0,0,2.29
2021,3,22,4,3.74,78.89,3.93,0,0,1.99
2021,3,22,5,3.45,78.94,4.02,0,0,1.71
2021,3,22,6,4.9,76.02,3.72,60.85,0,2.93
2021,3,22,7,7.83,59.76,3.92,245.55,0,4.11
2021,3,22,8,10.49,44.64,3.94,447.17,0,4.69
2021,3,22,9,12.89,37.04,3.56,619.4,0,5.71
2021,3,22,10,14.93,32.8,2.66,722.65,0,6.82
2021,3,22,11,16.59,32.06,1.2,733.67,0,8.13
2021,3,22,12,17.76,29.14,0.15,771.12,0,8.62
2021,3,22,13,18.08,32.02,1.48,621.53,0,9.49
2021,3,22,14,17.71,34.7,2.69,529.9,0,9.74
2021,3,22,15,16.67,38.24,3.84,375.75,0,9.49
2021,3,22,16,15.05,45.92,4.39,205,0,9.26
2021,3,22,17,12.1,66.15,3.51,50.38,0,9.04
2021,3,22,18,9.55,80.98,3.05,0,0,8.01
2021,3,22,19,8.9,83.72,2.62,0,0,7.61
2021,3,22,20,8.76,82.61,2.28,0,0,7.36
2021,3,22,21,8.75,80.45,2.05,0,0,7.14
2021,3,22,22,8.62,79.06,1.88,0,0,6.86
2021,3,22,23,8.32,78.39,1.64,0,0,6.46
2021,3,23,0,8.52,74.64,1.41,0,0,6.26
2021,3,23,1,8.39,72.72,1.24,0,0,5.92
2021,3,23,2,8.14,71.93,1.13,0,0,5.55
2021,3,23,3,7.58,72.76,1.15,0,0,5.07
2021,3,23,4,7,73.36,1.21,0,0,4.54
2021,3,23,5,7.39,68.52,1.07,0,0,4.4
2021,3,23,6,8.36,63.74,0.73,63.17,0,4.86
2021,3,23,7,10.71,59.71,0.83,241,0,6.78
2021,3,23,8,12.78,57.12,2.44,436.3,0,8.57
2021,3,23,9,14.4,52.67,3.13,609.12,0,9.58
2021,3,23,10,15.53,49.6,3.26,726.42,0,10.21
2021,3,23,11,16.35,46.89,3.33,777.88,0,10.58
2021,3,23,12,16.89,45.04,3.52,768.65,0,10.81
2021,3,23,13,17.06,44.62,3.79,692.12,0,10.89
2021,3,23,14,16.84,45.57,4.05,576.38,0,10.83
2021,3,23,15,16.16,48.87,4.53,389.67,0,10.69
2021,3,23,16,14.69,57.58,5.12,212.4,0,10.49
2021,3,23,17,12.22,75.43,4.52,51.55,0,10.09
2021,3,23,18,9.87,93.93,3.34,0,0,9.4
2021,3,23,19,9.01,100,2.73,0,0,9.23
2021,3,23,20,8.94,100,2.26,0,0,9.24
2021,3,23,21,9.08,100,1.73,0,0,9.28
2021,3,23,22,9.28,100,1.06,0,0,9.32
2021,3,23,23,9.38,98.15,0.34,0,0,9.24
2021,3,24,0,9.22,97.18,0.8,0,0,8.99
2021,3,24,1,8.77,98.2,1.4,0,0,8.62
2021,3,24,2,8.13,99.91,1.58,0,0,8.1
2021,3,24,3,7.42,100,1.81,0,0,7.42
2021,3,24,4,6.25,100,2.17,0,0,6.43
2021,3,24,5,5.73,100,2.39,0,0,5.72
2021,3,24,6,7.42,90.85,2.12,78.15,0,6.66
2021,3,24,7,10.62,69.65,1.95,264.4,0,7.91
2021,3,24,8,13.66,57.33,2.46,461.12,0,9.48
2021,3,24,9,15.64,50.71,3.08,614.95,0,10.49
2021,3,24,10,17.07,45.39,3.5,755.17,0,11.05
2021,3,24,11,18.15,41.63,3.78,797.35,0,11.47
2021,3,24,12,18.83,39.58,4.07,804.25,0,11.73
2021,3,24,13,19.08,38.8,4.38,741.95,0,11.82
2021,3,24,14,18.91,39.13,4.59,620.88,0,11.72
2021,3,24,15,18.29,41.04,4.7,454.5,0,11.46
2021,3,24,16,16.91,47.88,4.53,257.98,0,11.28
2021,3,24,17,13.73,68.66,3.38,64.22,0,10.89
2021,3,24,18,10.85,82.4,3.41,0,0,9.4
2021,3,24,19,9.81,88.91,3.15,0,0,8.9
2021,3,24,20,9.22,92.14,2.77,0,0,8.56
2021,3,24,21,9.02,92.58,2.46,0,0,8.38
2021,3,24,22,8.98,91.46,2.19,0,0,8.24
2021,3,24,23,9.11,88.05,1.95,0,0,8.07
2021,3,25,0,9.32,83.83,1.69,0,0,7.9
2021,3,25,1,9.24,81.41,1.43,0,0,7.59
2021,3,25,2,9.3,78.51,1.18,0,0,7.38
2021,3,25,3,9.22,76.89,0.92,0,0,7.16
2021,3,25,4,9.04,76.6,0.77,0,0,6.96
2021,3,25,5,8.9,76.78,0.76,0,0,6.86
2021,3,25,6,9.3,79.73,0.75,70.78,0,7.57
2021,3,25,7,11.82,68.67,0.91,233.5,0,8.99
2021,3,25,8,14.44,57.31,1.68,410.65,0,10.21
2021,3,25,9,16.33,51.54,2.69,567.88,0,11.24
2021,3,25,10,17.4,49.03,3.39,652.28,0,11.9
2021,3,25,11,18.1,47.73,3.88,740.3,0,12.4
2021,3,25,12,18.45,47.34,4.2,780.85,0,12.69
2021,3,25,13,18.42,48.22,4.44,694.17,0,12.81
2021,3,25,14,17.98,50.46,4.61,546.38,0,12.73
2021,3,25,15,17.09,54.33,4.79,370.12,0,12.42
2021,3,25,16,15.56,61.67,4.96,201.65,0,11.89
2021,3,25,17,13.07,77.49,4.1,53.22,0,11.14
2021,3,25,18,10.33,96.29,2.89,0,0,10.06
2021,3,25,19,9.58,100,2.43,0,0,9.76
2021,3,25,20,9.88,99.95,2.16,0,0.01,9.88
2021,3,25,21,9.86,99.57,1.58,0,0,9.82
2021,3,25,22,9.96,98.13,1.45,0,0,9.82
2021,3,25,23,9.95,97.4,1.21,0,0,9.74
2021,3,26,0,9.84,96.55,1.09,0,0,9.57
2021,3,26,1,9.5,95.02,1.07,0,0,9.1
2021,3,26,2,9.33,93.13,0.85,0,0,8.77
2021,3,26,3,9.33,91.63,0.4,0,0.01,8.64
2021,3,26,4,9.5,90.05,0.39,0,0.01,8.67
2021,3,26,5,9.45,90.74,0.97,0,0.01,8.67
2021,3,26,6,9.99,91.12,1.47,48.08,0.01,9.26
2021,3,26,7,11.45,83.75,2.38,156.57,0.01,10.11
2021,3,26,8,12.01,82.87,2.84,276.9,0.01,10.6
2021,3,26,9,12.76,80.08,3.06,389.98,0.01,11.08
2021,3,26,10,14.68,72.46,3.29,445.17,0.01,12.23
2021,3,26,11,16.37,66.59,3.78,568.12,0,13.26
2021,3,26,12,17.56,61.78,4.38,586.8,0,13.86
2021,3,26,13,18.26,58.25,4.55,492.83,0,14.09
2021,3,26,14,18.28,57.25,4.54,452.58,0,13.99
2021,3,26,15,17.75,58.34,4.32,334.62,0,13.6
2021,3,26,16,16.67,63.29,3.79,178.35,0,13.16
2021,3,26,17,14.2,80.84,2.93,46.5,0,12.58
2021,3,26,18,11.68,93.33,2.74,0,0,11.17
2021,3,26,19,11.4,96.07,2.2,0,0.01,11.11
2021,3,26,20,11.21,96.51,1.58,0,0.01,10.95
2021,3,26,21,11.4,94.54,0.99,0,0.01,10.99
2021,3,26,22,11.77,91.49,0.3,0,0.02,11.11
2021,3,26,23,11.53,92.76,0.59,0,0.07,10.97
2021,3,27,0,10.65,98.61,1.65,0,0.07,10.55
2021,3,27,1,9.79,100,2.56,0,0.04,10.12
2021,3,27,2,9.29,100,3.05,0,0.01,9.79
2021,3,27,3,9.22,100,3.06,0,0,9.61
2021,3,27,4,9.26,100,2.61,0,0,9.45
2021,3,27,5,9.63,96.94,1.89,0,0.01,9.4
2021,3,27,6,10.52,90.28,1.11,48.95,0.02,9.76
2021,3,27,7,11.59,82.43,0.75,154.15,0.04,10.15
2021,3,27,8,12.69,75.66,0.44,255.25,0.05,10.61
2021,3,27,9,13.61,71.09,0.63,389.6,0.05,11.06
2021,3,27,10,14.68,66.05,1.2,576.38,0.04,11.56
2021,3,27,11,15.4,62.6,1.8,578.45,0.02,11.86
2021,3,27,12,15.66,62.35,2.29,599.7,0.01,12.07
2021,3,27,13,15.81,61.46,2.67,430.67,0.01,12.12
2021,3,27,14,15.51,62.09,2.97,360.1,0,11.9
2021,3,27,15,15.58,61.53,3.1,251.68,0,11.91
2021,3,27,16,15.29,62.31,2.99,129.95,0,11.71
2021,3,27,17,13.4,76.68,2.01,34.33,0,11.4
2021,3,27,18,10.96,82.61,2.66,0,0,9.55
2021,3,27,19,10.03,85.9,2.76,0,0,8.92
2021,3,27,20,9.32,89.6,2.6,0,0,8.52
2021,3,27,21,8.93,92.69,2.29,0,0,8.37
2021,3,27,22,8.83,93.05,1.9,0,0,8.3
2021,3,27,23,8.74,92.78,1.56,0,0,8.19
2021,3,28,0,8.38,94.07,1.27,0,0,7.93
2021,3,28,1,8.26,93.69,1.22,0,0,7.77
2021,3,28,2,8.01,93.98,1.41,0,0,7.55
2021,3,28,3,7.83,93.67,1.54,0,0,7.34
2021,3,28,4,7.77,92.57,1.61,0,0,7.19
2021,3,28,5,7.55,92.63,1.8,0,0,6.98
2021,3,28,6,8.65,88.24,1.91,97.62,0,7.73
2021,3,28,7,11.5,72.81,2.08,281.05,0,9.14
2021,3,28,8,14.87,57.51,1.88,476.62,0,10.71
2021,3,28,9,17.07,49.24,2.24,614.53,0,11.71
2021,3,28,10,18.63,43.52,1.82,754.55,0,12.32
2021,3,28,11,19.66,41.07,1.81,809.85,0,12.85
2021,3,28,12,19.99,41.31,2.95,779.25,0,13.19
2021,3,28,13,19.71,43.06,4.23,736.75,0,13.23
2021,3,28,14,18.85,46.52,4.9,617.17,0,12.97
2021,3,28,15,17.63,51.5,4.93,443.7,0,12.55
2021,3,28,16,16.09,57.84,4.55,255.35,0,11.93
2021,3,28,17,13.78,71.98,3.09,69.28,0,11.3
2021,3,28,18,11.06,87.32,2.13,0,0,10.06
2021,3,28,19,10.72,87.02,1.37,0,0,9.69
2021,3,28,20,10.83,86.16,0.95,0,0,9.72
2021,3,28,21,10,90.8,1.52,0,0,9.29
2021,3,28,22,9.7,91.46,1.7,0,0,9.04
2021,3,28,23,9.87,88.45,1.53,0,0,8.95
2021,3,29,0,9.8,86.5,1.37,0,0,8.7
2021,3,29,1,9.98,83.38,1.25,0,0,8.6
2021,3,29,2,10.33,80.04,1.1,0,0,8.62
2021,3,29,3,10.12,80.53,1.1,0,0,8.45
2021,3,29,4,9.57,83.58,1.32,0,0,8.17
2021,3,29,5,8.55,89.99,1.68,0,0,7.69
2021,3,29,6,9.37,90.02,2.09,101.2,0,8.54
2021,3,29,7,12.09,75,2.77,285.6,0,9.92
2021,3,29,8,14.32,65.63,2.73,495.48,0,11.14
2021,3,29,9,16.16,58.23,2.83,651.62,0,12.05
2021,3,29,10,17.82,50.22,3.05,767.42,0,12.54
2021,3,29,11,18.69,47.02,3.5,810.28,0,12.89
2021,3,29,12,19.09,45.63,4.02,811.8,0,13.04
2021,3,29,13,18.9,46.45,4.45,740.72,0,13
2021,3,29,14,18.3,48.37,4.61,606.08,0,12.73
2021,3,29,15,17.37,51.61,4.56,418.52,0,12.32
2021,3,29,16,16.02,57.45,4.29,237.6,0,11.82
2021,3,29,17,13.83,72.97,3.11,61.8,0,11.46
2021,3,29,18,11.42,87.12,2.78,0,0,10.39
2021,3,29,19,10.64,90.31,2.84,0,0,9.87
2021,3,29,20,10.16,91.35,2.89,0,0,9.47
2021,3,29,21,9.86,91.4,2.94,0,0,9.17
2021,3,29,22,9.75,90.24,2.88,0,0,8.95
2021,3,29,23,9.72,88.18,2.78,0,0,8.73
2021,3,30,0,9.71,85.86,2.74,0,0,8.51
2021,3,30,1,9.66,83.62,2.77,0,0,8.25
2021,3,30,2,9.6,81.4,2.83,0,0,7.99
2021,3,30,3,9.62,79.55,2.86,0,0,7.83
2021,3,30,4,9.67,78.08,2.84,0,0,7.75
2021,3,30,5,9.84,76.8,2.74,3.2,0,7.8
2021,3,30,6,10.98,76.26,2.45,90.53,0,8.92
2021,3,30,7,13.35,68.97,2.13,273.88,0,10.51
2021,3,30,8,15.64,54.32,1.08,467.05,0,10.9
2021,3,30,9,17.62,48.21,1.62,570.1,0,11.95
2021,3,30,10,18.9,44.76,2.14,741.65,0,12.67
2021,3,30,11,19.65,43.39,2.7,810.7,0,13.18
2021,3,30,12,19.98,43.3,3.12,801.2,0,13.49
2021,3,30,13,19.95,43.83,3.42,742.6,0,13.58
2021,3,30,14,19.54,45.14,3.53,623.15,0,13.41
2021,3,30,15,18.75,47.54,3.58,457.38,0,13.05
2021,3,30,16,17.4,52.94,3.59,264.85,0,12.55
2021,3,30,17,14.78,70.2,2.68,72.28,0,12.1
2021,3,30,18,11.97,85.46,2.41,0,0,10.8
2021,3,30,19,11.13,90.15,1.9,0,0,10.36
2021,3,30,20,11.1,90.34,1.14,0,0,10.32
2021,3,30,21,11.19,90.5,0.67,0,0,10.42
2021,3,30,22,10.9,91.14,1.07,0,0.01,10.17
2021,3,30,23,10.84,89.28,1.13,0,0.01,9.95
2021,3,31,0,11.08,85.8,0.77,0,0.01,9.88
2021,3,31,1,11.11,84.52,0.39,0,0.01,9.78
2021,3,31,2,10.81,86.31,0.68,0,0.01,9.62
2021,3,31,3,10.37,89.36,0.88,0,0.01,9.45
2021,3,31,4,10.04,91.86,0.78,0,0.02,9.34
2021,3,31,5,9.8,93.48,0.52,3.72,0.02,9.24
2021,3,31,6,10.37,90.74,0.29,81.4,0.01,9.6
2021,3,31,7,12.61,73.16,0.73,247.15,0,10.2
2021,3,31,8,14.64,58.33,1.57,423.98,0,10.58
2021,3,31,9,16.09,53.48,1.97,568.08,0,11.36
2021,3,31,10,17.29,50.58,2.44,721.12,0,12.1
2021,3,31,11,18.15,47.8,3.02,777.55,0,12.53
2021,3,31,12,18.67,45.8,3.52,779.72,0,12.71
2021,3,31,13,18.78,44.88,3.86,735.8,0,12.68
2021,3,31,14,18.46,44.72,4.08,596.47,0,12.35
2021,3,31,15,17.58,46.16,4.24,436.23,0,11.73
2021,3,31,16,16.14,50.05,4.14,254.25,0,10.93
2021,3,31,17,13.73,64.26,3,79.85,0,10.42
2021,3,31,18,10.88,82.96,2.38,0,0,9.49
2021,3,31,19,10.12,87.93,1.99,0,0,9.14
2021,3,31,20,10.09,86.98,1.42,0,0,9
2021,3,31,21,10.34,84.54,0.92,0,0,9.01
2021,3,31,22,9.97,85.87,1.13,0,0,8.75
2021,3,31,23,9.39,87.9,1.39,0,0,8.34
2021,4,1,0,9.45,86.3,1.44,0,0,8.25
2021,4,1,1,9.44,85.52,1.3,0,0,8.17
2021,4,1,2,9.3,85.9,1.04,0,0,8.05
2021,4,1,3,9.16,86.42,0.82,0,0,7.94
2021,4,1,4,9.04,86.71,0.55,0,0,7.85
2021,4,1,5,8.88,86.69,0.29,4.18,0,7.68
2021,4,1,6,9.76,82.62,0.56,95.82,0,8.21
2021,4,1,7,12.24,67.41,0.38,280.95,0,9.18
2021,4,1,8,14.66,53.7,0.46,474.83,0,9.9
2021,4,1,9,16.29,48.45,0.97,634.67,0,10.74
2021,4,1,10,17.44,44.94,1.6,760.55,0,11.32
2021,4,1,11,17.43,45.5,2.06,791.1,0,11.39
2021,4,1,12,17.13,47.14,2.24,764.75,0,11.37
2021,4,1,13,17.4,46.95,2.3,707.1,0,11.6
2021,4,1,14,18.17,44.86,2.34,559.83,0,12.02
2021,4,1,15,18.19,44.18,2.37,382.23,0,11.93
2021,4,1,16,17.26,48.18,2.29,209.3,0,11.68
2021,4,1,17,14.66,72.07,1.74,62.67,0,12.16
2021,4,1,18,12.27,79.41,2.02,0,0,10.53
2021,4,1,19,12.14,79.89,1.99,0,0,10.41
2021,4,1,20,12.34,81.69,1.82,0,0,10.77
2021,4,1,21,12.23,82.29,1.64,0,0,10.69
2021,4,1,22,11.82,82.5,1.62,0,0,10.27
2021,4,1,23,11.62,81.62,1.79,0,0,9.96
2021,4,2,0,11.4,80.58,1.87,0,0,9.63
2021,4,2,1,11.3,78.39,1.8,0,0,9.32
2021,4,2,2,11.7,73.14,1.73,0,0,9.18
2021,4,2,3,11.55,71.43,1.84,0,0,8.86
2021,4,2,4,10.59,73.3,2.13,0,0,8.1
2021,4,2,5,10.28,72.82,2.43,5.18,0,7.73
2021,4,2,6,11.23,76.55,2.52,96.2,0.01,9.13
2021,4,2,7,14.12,59.65,2.84,277.25,0,10.02
2021,4,2,8,16.14,46.94,2.62,469.67,0,10.17
2021,4,2,9,17.73,41.67,2.74,633.35,0,10.85
2021,4,2,10,18.87,39.92,3.15,751.97,0,11.7
2021,4,2,11,19.65,39.64,3.63,820.45,0,12.44
2021,4,2,12,20.05,40.11,4.08,812.35,0,12.95
2021,4,2,13,20.01,41.45,4.48,761.42,0,13.18
2021,4,2,14,19.57,43.68,4.81,632.25,0,13.14
2021,4,2,15,18.7,47.19,4.91,450.02,0,12.9
2021,4,2,16,17.56,52.55,4.59,252.85,0,12.61
2021,4,2,17,15.48,68.06,2.97,77.03,0,12.54
2021,4,2,18,13.09,82.58,2.45,0,0,11.65
2021,4,2,19,12.41,85.42,2.25,0,0,11.23
2021,4,2,20,12.2,84.88,2.02,0,0,10.96
2021,4,2,21,12.13,83.95,1.82,0,0,10.8
2021,4,2,22,11.99,85.07,1.78,0,0,10.75
2021,4,2,23,12.35,82.3,1.22,0,0,10.85
2021,4,3,0,12.36,80.99,0.73,0,0,10.74
2021,4,3,1,11.95,81.49,1.57,0,0,10.4
2021,4,3,2,11.24,82.93,2.31,0,0,9.82
2021,4,3,3,11.23,81.69,2.39,0,0,9.7
2021,4,3,4,11.83,77.94,2.12,0,0,9.96
2021,4,3,5,12.28,75.35,1.87,5.97,0,10.16
2021,4,3,6,13.42,75.2,1.53,103.1,0,11.27
2021,4,3,7,15.9,63.4,0.88,285.15,0,12.41
2021,4,3,8,18.22,50.79,0.61,490.05,0,13.03
2021,4,3,9,19.73,45.81,1.62,639.58,0,13.73
2021,4,3,10,20.74,43.27,2.29,738.8,0,14.29
2021,4,3,11,21.42,41.71,2.74,817.45,0,14.65
2021,4,3,12,22.03,40.21,3.07,786.8,0,14.97
2021,4,3,13,22.34,39.25,3.4,718.75,0,15.07
2021,4,3,14,22.24,39.06,3.67,598.92,0,14.92
2021,4,3,15,21.44,41.44,3.93,420.08,0,14.59
2021,4,3,16,19.82,48.96,3.96,233.52,0,14.3
2021,4,3,17,16.7,68.09,3.26,72.35,0,13.75
2021,4,3,18,13.47,86.36,2.77,0,0.01,12.36
2021,4,3,19,12.33,92.76,2.68,0,0.01,11.76
2021,4,3,20,12.36,91.03,2.7,0,0.04,11.65
2021,4,3,21,12.52,88.93,2.33,0,0.1,11.64
2021,4,3,22,12.33,87.68,2.06,0,0.1,11.35
2021,4,3,23,12.11,85.53,1.85,0,0.07,10.94
2021,4,4,0,12.01,81.66,1.51,0,0.05,10.49
2021,4,4,1,11.74,77.7,1.23,0,0.05,9.85
2021,4,4,2,11.24,76.23,0.81,0,0.04,9.2
2021,4,4,3,9.91,81.01,1.27,0,0.02,8.32
2021,4,4,4,8.54,87.32,2.28,0,0,7.51
2021,4,4,5,7.89,90.28,2.99,6.43,0,7.07
2021,4,4,6,10.32,79.53,3.11,89.95,0,8.55
2021,4,4,7,13.08,63.08,3.01,249.07,0.01,9.55
2021,4,4,8,15.38,55.98,1.96,409,0.01,10.93
2021,4,4,9,16.77,51.15,1.24,565.38,0.02,11.64
2021,4,4,10,17.92,45.73,1.1,476.88,0.03,11.96
2021,4,4,11,18.62,44.11,1.94,531.45,0.04,12.38
2021,4,4,12,18.81,45.24,2.83,552.5,0.05,12.73
2021,4,4,13,18.64,46.51,3.39,642.97,0.05,12.77
2021,4,4,14,18.18,48.09,3.7,553.25,0.04,12.58
2021,4,4,15,17.51,50.16,3.77,421.05,0.02,12.24
2021,4,4,16,16.49,53.03,3.64,241.57,0.01,11.67
2021,4,4,17,14.9,62.35,2.82,79.3,0,11.34
2021,4,4,18,12.67,76.93,2.11,0,0,10.71
2021,4,4,19,11.78,80.62,1.74,0,0,10.17
2021,4,4,20,11.22,81.84,1.3,0,0,9.73
2021,4,4,21,11,79.97,0.87,0,0,9.35
2021,4,4,22,10.61,80.47,1.02,0,0,9
2021,4,4,23,9.93,83.68,1.67,0,0,8.63
2021,4,5,0,9.4,86.83,2.23,0,0,8.37
2021,4,5,1,9.07,90.25,2.58,0,0,8.32
2021,4,5,2,8.56,94.52,2.85,0,0,8.14
2021,4,5,3,8.14,97.65,2.96,0,0,7.95
2021,4,5,4,7.81,98.96,2.98,0,0,7.73
2021,4,5,5,7.69,97.53,2.93,6.1,0,7.48
2021,4,5,6,10.1,84.65,2.74,107.78,0,8.86
2021,4,5,7,13.01,65.23,2.55,299.7,0,9.8
2021,4,5,8,15.9,52.19,2.81,485.33,0,10.99
2021,4,5,9,17.52,47.32,3.55,627.15,0,11.85
2021,4,5,10,18.6,43.47,4.02,778.17,0,12.26
2021,4,5,11,19.39,40.72,4.52,832.17,0,12.54
2021,4,5,12,19.81,39.44,5.02,821.9,0,12.7
2021,4,5,13,19.95,39,5.35,759.2,0,12.76
2021,4,5,14,19.82,39.22,5.64,633.25,0,12.67
2021,4,5,15,19.38,40.42,5.91,441.52,0,12.47
2021,4,5,16,18.4,44.73,5.97,258.33,0,12.27
2021,4,5,17,16.2,56.9,5.08,85.62,0,11.93
2021,4,5,18,13.2,72.67,4.5,0,0,10.8
2021,4,5,19,11.81,81.35,4.19,0,0,10.27
2021,4,5,20,10.81,87.67,3.71,0,0,9.82
2021,4,5,21,10.74,87.46,2.96,0,0,9.71
2021,4,5,22,11.01,86.1,1.97,0,0,9.86
2021,4,5,23,10.68,87.72,1.15,0,0,9.66
2021,4,6,0,9.86,90.69,1.1,0,0,9.09
2021,4,6,1,8.81,93.3,1.76,0,0,8.23
2021,4,6,2,7.99,92.95,2.63,0,0.01,7.35
2021,4,6,3,7.67,89.21,3.37,0,0.03,6.73
2021,4,6,4,7.8,83.42,3.56,0,0.02,6.37
2021,4,6,5,8.32,79.7,3.14,8.77,0.03,6.58
2021,4,6,6,10.88,79.57,2.5,84.55,0.05,9.17
2021,4,6,7,12.31,74.05,3.17,199.9,0.2,10.05
2021,4,6,8,12.93,72.16,4.03,313.35,0.12,10.44
2021,4,6,9,13.45,71.58,4.34,428.42,0.1,10.93
2021,4,6,10,13.97,68.71,4.61,475.1,0.11,11.15
2021,4,6,11,14.75,63.08,4.86,543.25,0.09,11.28
2021,4,6,12,15.91,56.96,5.27,594.97,0.03,11.65
2021,4,6,13,16.92,52.07,5.75,514.75,0.01,11.95
2021,4,6,14,17.36,50.2,6.15,460.23,0,12.11
2021,4,6,15,17.09,52.15,6.74,334.02,0,12.14
2021,4,6,16,15.73,59.39,7.62,180.25,0,11.79
2021,4,6,17,13.55,71.23,7.81,56.85,0.01,11.01
2021,4,6,18,11.57,84.07,6.94,0,0.23,10.27
2021,4,6,19,11.25,86.57,6.25,0,0.42,10.17
2021,4,6,20,11.11,83.92,5.24,0,0.39,9.8
2021,4,6,21,10.9,80.48,4.11,0,0.29,9.29
2021,4,6,22,10.66,77.18,3.24,0,0.26,8.73
2021,4,6,23,10.14,73.13,2.95,0,0.2,7.82
2021,4,7,0,9.23,69.31,3.09,0,0.38,6.51
2021,4,7,1,8.13,67.76,3.2,0,0.48,5.27
2021,4,7,2,7.2,66.37,3.13,0,0.35,4.2
2021,4,7,3,6.48,64.91,2.83,0,0.23,3.35
2021,4,7,4,6.07,63.64,2.31,0,0.18,2.82
2021,4,7,5,5.91,61.7,1.82,3.45,0.09,2.45
2021,4,7,6,6.44,55.29,1.52,38.15,0.04,2.24
2021,4,7,7,8.02,47.02,0.59,77.4,0.03,2.67
2021,4,7,8,9.57,44.61,0.94,117.25,0.03,3.83
2021,4,7,9,11.04,43.81,1.97,227.57,0.03,5.1
2021,4,7,10,12.11,44.4,3.11,302.25,0.03,6.22
2021,4,7,11,12.8,45.95,4.02,447.15,0.05,7.12
2021,4,7,12,12.8,48.84,4.66,494.23,0.06,7.55
2021,4,7,13,12.42,52.16,5.22,656.28,0.05,7.64
2021,4,7,14,11.54,56.1,5.6,597.95,0.04,7.32
2021,4,7,15,10.48,59.72,5.35,459.9,0.02,6.73
2021,4,7,16,10.09,60.43,4.85,266.62,0.01,6.44
2021,4,7,17,9.43,62.53,4.29,93.35,0,6.04
2021,4,7,18,8.05,70.9,3.13,0,0,5.58
2021,4,7,19,7,75.31,2.55,0,0,4.97
2021,4,7,20,6.4,74.76,2.35,0,0,4.33
2021,4,7,21,6.24,71.46,2.02,0,0,3.85
2021,4,7,22,6.27,67.66,1.74,0,0,3.51
2021,4,7,23,6.19,65.37,1.54,0,0,3.19
2021,4,8,0,5.96,64.88,1.46,0,0,2.92
2021,4,8,1,5.62,65.54,1.46,0,0,2.67
